location,date,vaccine,total_vaccinations
Liechtenstein,2021-02-12,Moderna,368
Liechtenstein,2021-02-12,Pfizer/BioNTech,797
Liechtenstein,2021-02-19,Moderna,888
Liechtenstein,2021-02-19,Pfizer/BioNTech,917
Liechtenstein,2021-02-26,Moderna,1256
Liechtenstein,2021-02-26,Pfizer/BioNTech,1333
Liechtenstein,2021-03-05,Moderna,1256
Liechtenstein,2021-03-05,Pfizer/BioNTech,1862
Liechtenstein,2021-03-12,Moderna,1904
Liechtenstein,2021-03-12,Pfizer/BioNTech,1862
Liechtenstein,2021-03-19,Moderna,2423
Liechtenstein,2021-03-19,Pfizer/BioNTech,1912
Liechtenstein,2021-03-26,Moderna,2423
Liechtenstein,2021-03-26,Pfizer/BioNTech,3036
Liechtenstein,2021-04-02,Moderna,2912
Liechtenstein,2021-04-02,Pfizer/BioNTech,3561
Liechtenstein,2021-04-09,Moderna,3822
Liechtenstein,2021-04-09,Pfizer/BioNTech,3561
Liechtenstein,2021-04-16,Moderna,4361
Liechtenstein,2021-04-16,Pfizer/BioNTech,4468
Liechtenstein,2021-04-23,Moderna,5199
Liechtenstein,2021-04-23,Pfizer/BioNTech,6227
Liechtenstein,2021-04-30,Moderna,6198
Liechtenstein,2021-04-30,Pfizer/BioNTech,6769
Liechtenstein,2021-05-07,Moderna,7569
Liechtenstein,2021-05-07,Pfizer/BioNTech,6769
Liechtenstein,2021-05-14,Moderna,8669
Liechtenstein,2021-05-14,Pfizer/BioNTech,7633
Liechtenstein,2021-05-21,Moderna,8959
Liechtenstein,2021-05-21,Pfizer/BioNTech,7901
Liechtenstein,2021-05-28,Moderna,10327
Liechtenstein,2021-05-28,Pfizer/BioNTech,8736
Liechtenstein,2021-06-04,Moderna,13100
Liechtenstein,2021-06-04,Pfizer/BioNTech,8736
Liechtenstein,2021-06-11,Moderna,15396
Liechtenstein,2021-06-11,Pfizer/BioNTech,9314
Liechtenstein,2021-06-18,Moderna,18203
Liechtenstein,2021-06-18,Pfizer/BioNTech,9314
Liechtenstein,2021-06-25,Moderna,19302
Liechtenstein,2021-06-25,Pfizer/BioNTech,9832
Liechtenstein,2021-07-02,Moderna,21577
Liechtenstein,2021-07-02,Pfizer/BioNTech,9832
Liechtenstein,2021-07-09,Moderna,23589
Liechtenstein,2021-07-09,Pfizer/BioNTech,10437
Liechtenstein,2021-07-16,Moderna,25915
Liechtenstein,2021-07-16,Pfizer/BioNTech,10437
Liechtenstein,2021-07-23,Moderna,26305
Liechtenstein,2021-07-23,Pfizer/BioNTech,10682
Liechtenstein,2021-07-30,Moderna,26305
Liechtenstein,2021-07-30,Pfizer/BioNTech,10682
Liechtenstein,2021-08-06,Moderna,26305
Liechtenstein,2021-08-06,Pfizer/BioNTech,10682
Liechtenstein,2021-08-13,Moderna,27431
Liechtenstein,2021-08-13,Pfizer/BioNTech,11273
