location,date,vaccine,total_vaccinations
Luxembourg,2021-01-01,Pfizer/BioNTech,0
Luxembourg,2021-01-08,Pfizer/BioNTech,1286
Luxembourg,2021-01-15,Moderna,0
Luxembourg,2021-01-15,Pfizer/BioNTech,2781
Luxembourg,2021-01-22,Moderna,284
Luxembourg,2021-01-22,Pfizer/BioNTech,5094
Luxembourg,2021-01-29,Moderna,418
Luxembourg,2021-01-29,Pfizer/BioNTech,8294
Luxembourg,2021-02-05,Moderna,841
Luxembourg,2021-02-05,Oxford/AstraZeneca,0
Luxembourg,2021-02-05,Pfizer/BioNTech,11765
Luxembourg,2021-02-12,Moderna,1032
Luxembourg,2021-02-12,Oxford/AstraZeneca,1134
Luxembourg,2021-02-12,Pfizer/BioNTech,13908
Luxembourg,2021-02-19,Moderna,1322
Luxembourg,2021-02-19,Oxford/AstraZeneca,3434
Luxembourg,2021-02-19,Pfizer/BioNTech,17339
Luxembourg,2021-02-26,Moderna,1639
Luxembourg,2021-02-26,Oxford/AstraZeneca,4034
Luxembourg,2021-02-26,Pfizer/BioNTech,21614
Luxembourg,2021-03-05,Moderna,2109
Luxembourg,2021-03-05,Oxford/AstraZeneca,5188
Luxembourg,2021-03-05,Pfizer/BioNTech,27760
Luxembourg,2021-03-12,Moderna,2608
Luxembourg,2021-03-12,Oxford/AstraZeneca,6422
Luxembourg,2021-03-12,Pfizer/BioNTech,37827
Luxembourg,2021-03-19,Moderna,4097
Luxembourg,2021-03-19,Oxford/AstraZeneca,7433
Luxembourg,2021-03-19,Pfizer/BioNTech,50249
Luxembourg,2021-03-26,Moderna,4303
Luxembourg,2021-03-26,Oxford/AstraZeneca,15973
Luxembourg,2021-03-26,Pfizer/BioNTech,53082
Luxembourg,2021-04-02,Moderna,4703
Luxembourg,2021-04-02,Oxford/AstraZeneca,30409
Luxembourg,2021-04-02,Pfizer/BioNTech,57269
Luxembourg,2021-04-09,Moderna,7197
Luxembourg,2021-04-09,Oxford/AstraZeneca,32144
Luxembourg,2021-04-09,Pfizer/BioNTech,77360
Luxembourg,2021-04-16,Johnson&Johnson,2186
Luxembourg,2021-04-16,Moderna,11659
Luxembourg,2021-04-16,Oxford/AstraZeneca,33919
Luxembourg,2021-04-16,Pfizer/BioNTech,102489
Luxembourg,2021-04-23,Johnson&Johnson,2381
Luxembourg,2021-04-23,Moderna,12216
Luxembourg,2021-04-23,Oxford/AstraZeneca,35021
Luxembourg,2021-04-23,Pfizer/BioNTech,114793
Luxembourg,2021-04-30,Johnson&Johnson,2381
Luxembourg,2021-04-30,Moderna,14498
Luxembourg,2021-04-30,Oxford/AstraZeneca,37285
Luxembourg,2021-04-30,Pfizer/BioNTech,130738
Luxembourg,2021-05-07,Johnson&Johnson,5882
Luxembourg,2021-05-07,Moderna,17400
Luxembourg,2021-05-07,Oxford/AstraZeneca,48646
Luxembourg,2021-05-07,Pfizer/BioNTech,153067
Luxembourg,2021-05-14,Johnson&Johnson,7787
Luxembourg,2021-05-14,Moderna,23457
Luxembourg,2021-05-14,Oxford/AstraZeneca,53658
Luxembourg,2021-05-14,Pfizer/BioNTech,183269
Luxembourg,2021-05-21,Johnson&Johnson,10939
Luxembourg,2021-05-21,Moderna,29664
Luxembourg,2021-05-21,Oxford/AstraZeneca,56209
Luxembourg,2021-05-21,Pfizer/BioNTech,205988
Luxembourg,2021-05-28,Johnson&Johnson,11440
Luxembourg,2021-05-28,Moderna,33782
Luxembourg,2021-05-28,Oxford/AstraZeneca,57393
Luxembourg,2021-05-28,Pfizer/BioNTech,225578
Luxembourg,2021-06-04,Johnson&Johnson,12879
Luxembourg,2021-06-04,Moderna,34604
Luxembourg,2021-06-04,Oxford/AstraZeneca,69239
Luxembourg,2021-06-04,Pfizer/BioNTech,254848
Luxembourg,2021-06-11,Johnson&Johnson,17014
Luxembourg,2021-06-11,Moderna,37687
Luxembourg,2021-06-11,Oxford/AstraZeneca,83867
Luxembourg,2021-06-11,Pfizer/BioNTech,282403
Luxembourg,2021-06-18,Johnson&Johnson,17945
Luxembourg,2021-06-18,Moderna,43319
